model,year,odometer,price,location,driveTrain,DAS,accident_history,paintJob,wheels,emi,zipCode,interior,state
Model S,2018.0,36438.0,53300.0,"Colma, CA",100D Long Range All-Wheel Drive,Autopilot,Previously Repaired,Red Multi-Coat Paint,"19"" Silver Slipstream Wheels",$824 /mo,85209,Cream Premium Interior,CA
Model S,2018.0,30180.0,59200.0,"Colma, CA",100D Long Range All-Wheel Drive,Previously Repaired,30-Day Premium Connectivity Trial,Midnight Silver Metallic Paint,"21"" Sonic Carbon Twin Turbine Wheels",$930 /mo,85209,Black Premium Interior,CA
Model S,2018.0,95696.0,36100.0,"Scottsdale, AZ",100D Long Range All-Wheel Drive,Enhanced Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"19"" Sonic Carbon Slipstream Wheels",$514 /mo,85209,Black Premium Interior,AZ
Model S,2018.0,36438.0,53300.0,"Colma, CA",100D Long Range All-Wheel Drive,Autopilot,Previously Repaired,Red Multi-Coat Paint,"19"" Silver Slipstream Wheels",$824 /mo,85251,Cream Premium Interior,CA
Model S,2018.0,30180.0,59200.0,"Colma, CA",100D Long Range All-Wheel Drive,Previously Repaired,30-Day Premium Connectivity Trial,Midnight Silver Metallic Paint,"21"" Sonic Carbon Twin Turbine Wheels",$930 /mo,85251,Black Premium Interior,CA
Model S,2018.0,95696.0,36100.0,"Scottsdale, AZ",100D Long Range All-Wheel Drive,Enhanced Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"19"" Sonic Carbon Slipstream Wheels",$514 /mo,85251,Black Premium Interior,AZ
Model S,2018.0,95696.0,36100.0,"Scottsdale, AZ",100D Long Range All-Wheel Drive,Enhanced Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"19"" Sonic Carbon Slipstream Wheels",$514 /mo,85254,Black Premium Interior,AZ
Model S,2018.0,95696.0,36100.0,"Scottsdale, AZ",100D Long Range All-Wheel Drive,Enhanced Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"19"" Sonic Carbon Slipstream Wheels",$514 /mo,85260,Black Premium Interior,AZ
Model S,2018.0,95696.0,36100.0,"Scottsdale, AZ",100D Long Range All-Wheel Drive,Enhanced Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"19"" Sonic Carbon Slipstream Wheels",$514 /mo,85281,Black Premium Interior,AZ
Model S,2018.0,95696.0,36100.0,"Scottsdale, AZ",100D Long Range All-Wheel Drive,Enhanced Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"19"" Sonic Carbon Slipstream Wheels",$514 /mo,85305,Black Premium Interior,AZ
